Ford City Mall , 7601 S Cicero Ave , North Room lower level  (near Ford City Connection entrance) , Chicago , IL , us , 60652
I.M. Think Tank Office , 222 South Riverside Plaza  , 29th Floor , Chicago , IL , us , 60606
New Horizons Computer Learning Centers , 200 W Monroe St , Suite 900 , Chicago , IL , us , 60606
Potbelly Sandwich Shop , 545 W Madison St , (Clinton & Madison) , Chicago , IL , us , 60661
Lake County Public Library, Room B , 1919 W 81st Ave , Lower Level, Room B , Merrillville , IN , us , 46410
Jedlicka Performing Arts Center , 3801 S Central Ave , Morton College , Cicero , IL , us , 60804
Dominican University , 7900 W Division St , River Forest , River Forest , IL , us , 60305
Aurora Public Library , Eola Road Branch , 555 S. Eola Rd. , Aurora , IL , us , 60504
Fox's Restaurant , 11247 W. 187th St. , Wolf Rd. and 187th Street , Mokena , IL , us , 60448
Angelino's Ristorante , 9301 West 191st  Street , (upstairs banquet hall) , Mokena , IL , us , 60448
Community Softball Fields , 171st Street and 80th  , 1 block west of 80th on 171st , Tinley Park , IL , us , 60477
Hickory Creek Barrens , Forest Preserve District of Will County , Schoolhouse Road, 0.25-mile north of Route 30 , New Lenox , IL , us , 60451
Worth Historical Museum , 11500 South Beloit Street , (3 blocks west of Harlem on 115th) , Worth , IL , us , 60482
Frankfort Fall Fest , 140 S LaGrange Rd  , Near Nebraska and Kansas Streets , Frankfort , IL , us , 60423
Bettenhausen Recreation Center , 8125 171st St , Just west of 80th Ave, on south side of 171st.  , Tinley Park , IL , us , 60477
Pierogi Fest , 1190 Indianapolis Boulevard , 119th Street , Whiting , IN , us , 46375
The Peninsula Hotel , 108 E. Superior St , On the Shanghai Terrace , Chicago , IL , us , 60611
Grant Park , - Butler Field , 100 S. Lake Shore Dr , Chicago , IL , us , 60558
NoMI Garden , 800 N. Michigan , 7th Floor of Park Hyatt Chicago , Chicago , IL , us , 60611
Browntrout , 4111 N Lincoln Ave , (between Belle Plaine Ave & Warner Ave) , Chicago , IL , us , 60618
Bakin' & Eggs , 3120 N Lincoln Ave. , between Greenview Ave & Barry Ave , Chicago  , IL , us , 60657
Illinois Institute of Technology - Rice Campus , 201 East Loop Rd , Room 103 , Wheaton , IL , us , 60187
Coq D"or , Drake Hotel , 140 East Walton Place , Chicago , IL , us , 60611
Coffee Chicago , 5256 N Broadway Ave , (across Blockbuster Video) , Chicago , IL , us , 60640
Intelligentsia Millennium Park , 55 E Randolph St , Near Millennium Park , Chicago , IL , us , 60647
Clarity Consulting , 1 North Franklin , Suite 3400 , Chicago , IL , us , 60606
Prana Yoga Center , 501 W. State St. , 2nd floor , Geneva , IL , us , 60134
DeSarge DanceWorld , 632 Amersale Drive  , Suite 104 , Naperville , IL , us , 60540
Central Park , 36 S. Washington Street , across the street from Catch 35 Restaurant , Naperville , IL , us , 60540
Fermilab Art Gallery , Kirk Rd. and Pine St.. , Wilson Hall 2nd floor , Batavia , IL , us , 60134
Mercury Cafe , 1505 W Chicago Ave , 312-455-9924 , Chicago , IL , us , 60622
The Blue Theatre , 1609 W Gregory Ave , Glasen Hall , Chicago , IL , us , 60640
Raven Theatre Complex , 6157 N. Clark St , The West Stage , Chicago , IL , us , 60660
SWC Technology Partners , 1420 Kensington Road , Suite 110 , Oak Brook , IL , us , 60523
Cernan Earth and Space Center , Triton College , 2000 Fifth Ave , River Grove , IL , us , 60160
McAninch Arts Center  , 425 Fawell Boulevard , College of DuPage , Glen Ellyn , IL , us , 60137
Charlie's Charhouse Restaurant , 1180 W Devon ,  NW Corner of Deovn & Rohlwing Rd    , Elk Grove Village , IL , us , 60007
Brunswick Zone Fountain Square , 631 Lakehurst Rd , (Right by Walmart/Buff Wild) , Waukegan , IL , us , 60085
The Chicago Improv , 5 Woodfield Road , Woodfield Mall Store K120B , Schaumburg , IL , us , 60173
Cy's Crab House , 3819 N. Ashland Avenue , Chicago , Chicago , IL , us , 60613
Lululemon , 900 N Michigan Ave , Floor 3 , Chicago , IL , us , 60611
Clarkson Park , 1950 Willow Rd , (Willow rd and Bristol st) , Northfield , IL , us , 60062
Conference Call-in , Dial 605-475-6333 , passcode 453471 , Chicago , IL , us , 60942
Dancin' In The Streets , 1 North Prospect Avenue , Downtown , Clarendon Hills , IL , us , 60514
Burgoo Festival , Downtown Utica , Canal Street , La Salle , IL , us , 61373
Fox River Trolley Museum , (Illinois Rt 31) , 361 South LaFox Street  , South Elgin , IL , us , 60177
Clark Street Beach , East of Clark and Sheridan Road , Close to the new Beach House , Evanston , IL , us , 60201
Orbitz Worldwide Headquarters , 500 West Madison , 3rd floor visitor center , Chicago , IL , us , 60606
Golden Corral , 381 Brookview Lane , (From Bolingbrook Dr/Rt 53 turn West onto Remington Dr; then North onto Brookview Lane) , Bolingbrook , IL , us , 60440
The Nest Bar & Grill @ The Bolingbrook Golf Club , 2001 Rodeo Drive , (lower level) , Bolingbrook , IL , us , 60490
The Lodge Pub & Grill , 5750 Lakeside Dr , (Located IN 4 Lakes Living Community)  , Lisle , IL , us , 60532
The Top Floor , 232 South Batavia Avenue , (aka Rt 31) , Batavia , IL , us , 60510
Leona's Restaurant , 1236 E 53rd St , between Kimbark Ave & Woodlawn Ave) , Chicago , IL , us , 60615
John Merlo Library , 644 W Belmont Ave , 2nd Flr Meeting Rm , Chicago , IL , us , 60657
IL Chapter Office , 70 E. Lake St.  , Suite 1500 , Chicago , IL , us , 60601
Illlinois Sierra Club Office , 70 E. Lake , Suite 1500 , Chicago , IL , us , 60601
Chicago Tea Garden , 2023 West Carroll Ave , Unit C202 , Chicago , IL , us , 60612
Lincoln Park Zoo , 2001 N. Stockton Dr. , Main Entrance , Chicago , IL , us , 60614
Standard India Restaurant , 917 W Belmont Ave , (Cross Street: Sheffield Avenue) , Chicago , IL , us , 60657
Lincoln Square ,  4700 N. Lincoln Ave. , *At the intersection of Lincoln, Leland and Western Avenues* , Chicago , IL , us , 60625
540 W. Madison , 540 W. Madison , 9th floor conference rooms , Chicago , IL , us , 60661
O'Malley's Liquor Kitchen , 3551 N. Sheffield , ...across from Wrigley Field(formerly Club 162) , Chicago , IL , us , 60657
gravitytank , 114 W. Illinois Street , FL4 , Chicago , IL , us , 60654
Bennet's , 5249 N. Leavitt Street , (Near Damen & Foster) , Chicago , IL , us , 60625
Brookfield Zoo , 3300 Golf Road , Brrokfield, IL , Brookfield , IL , us , 60513
UWM Field Station at Cedarburg Bog , 3095 Blue Goose Road , Saukville, Wisconsin , Saukville , WI , us , 53080
my house , 2772 Weeping Willow Dr. , Unit B , Lisle , IL , us , 60532
Mathiessen State Park , Rte 178 , just 2 1/2 miles south of the Starved Rock State Park Entrance on Rte 178 , Utica , IL , us , 61373
I & M Canal , 111 E Washington Blvd , The Courthouse , Glen Ellyn , IL , us , 60137
Gala Tea , Randhurst Mall , 999 Elmhurst Road unit 2655 , Mount Prospect , IL , us , 60056
Morgan's On Maxwell Street , 1325 S. Halsted , between Maxwell St & Liberty St , Chicago , IL , us , 60607
Starbucks Coffee , 38 E Ontario St , (Ontario & Wabash) , Chicago , IL , us , 60611
Berger Park Cultural Center , 6205 N Sheridan , right next to N Lakeside Cultural Center , Chicago , IL , us , 60601
Lit. Fest , Dearborn and Polk Streets , South Loop , Chicago , IL , us , 60605
Scoville Park , Oak Park Ave. & Lake St. , (Next to the Oak Park Public Library) , Oak Park , IL , us , 60302
Co-op Market , 1526 E.55th st. , lower level , Chicago , IL , us , 60615
EPA Region 5 Office , 77 West Jakcson Blvd. , 3rd floor , Chicago , IL , us , 60604
Awakened Lotus Yoga Studio , 3040 W Irving Park Road , Next door to Cousin's IV , Chicago , IL , us , 60618
IPHS , c/o Irving Park United Methodist Church , 3801 N Keeler Av , Chicago , IL , us , 60641
Portillos & Branelli's Salads & Pizza , 100 W Ontario/ Clark , 2nd Floor South side , Chicago , IL , us , 60601
Portillo's & Barnelli's Salads & Pizza , Clark @ Ontario (100 W Ontario) , - 2nd Floor South side , Chicago , IL , us , 60654
Turkish Trade Commission , 444 N Michigan Ave , Conference Room , Chicago , IL , us , 60611
The Sync Tech Center (Syncubator) , 322 S Green , 3rd Floor , Chicago , IL , us , 60607
Locke Lord Bissell & Lidell, LLP , 111 South Wacker Drive , 41st Floor , Chicago , IL , us , 60606
Wells Fargo Advisors , 222 South Riverside Plaza , Suite 300 , Chicago , IL , us , 60661
DePaul University, Naperville Campus , 29W150 Warrenville Rd , (search "Warrenville & Herrick" # not read right by many map sites) , Warrenville , IL , us , 60555
Beyond Properties , 642 S. Lombard , Suite 1 , Oak Park , IL , us , 60304
BD'S Mongolain BBQ , 619 E Boughton , Suite 150 , Bolingbrook , IL , us , 60440
The Neo-Futurists @ Metropolitan Brewery , 5121 N Ravenswood Ave  , Corner of Ravenswood & Winona , Chicago , IL , us , 60640
Timothy O'Tooles , 622 N Fairbanks Ct , *Between Ohio & Ontario Street , Chicago  , IL , us , 60601
Gigio's Pizzeria , 1001 Davis St , Evanston , Evanston , IL , us , 60201
Barnes & Noble , 1630 Sherman , Evanston , Evanston , IL , us , 60201
Forty Acres Woods (Cook County Forest Preserve) , 119th and US 45 , Just east of intersection , Palos Park , IL , us , 60464
Transitions Bookplace , 100 W. North Ave , Chicago, IL , Chicago , IL , us , 60622
Biaggi's Ristorante Italiano , Deer Park Town Center , 20560 North Rand Road , Deer Park , IL , us , 60010
Yankee Woods , 167th Street & Central  , Between 159th & 167th Streets on Central  , Oak Forest , IL , us , 60477
Echo Global Logistics , 600 West Chicago Ave , Suite 725 , Chicago , IL , us , 60654
Naperville Cultural Center , Mainstreet Promenade , 55 South Main Street, Suite 211 , Naperville , IL , us , 60555
Cafe Mestizo - NEW location , 1738 W. 18th Street , Pilsen , Chicago  , IL , us , 60608
Einstein Bagels , 30 N. LaSalle , (entrance on Washington) , Chicago , IL , us , 60610
Trout Park , 576 Trout Park Bvld , Trout Park Blvd & Route 25 , Elgin , IL , us , 60120
LINCOLN PARK , 2045 Lincoln Park West , South Field House , Chicago , IL , us , 60610
Anti Cruelty Society Training Room , 510 N. LaSalle , trainng room entrance on Grand, by Wells , Chicago , IL , us , 60610
Stay Dog Hotel , 4130 N. Rockwell St. , Chicago , Chicago , IL , us , 60630
The Architrouve  , 1433 W Chicago Ave , art gallery , Chicago , IL , us , 60622
Stay Dog Hotel , 4130 N. Rockwell , Chicago , Chicago , IL , us , 60630
Stay Dog Hotel , 4130 N. Rockwell , Chicago , Chicago , IL , us , 60630
Barnes & Noble cafe, 2nd floor mall , 720 Hawthorn Ctr, , off Rd. 60 , Vernon Hills , IL , us , 60061
Starbucks , 255 Parkway Dr , off Milwaukee Ave. , Lincolnshire , IL , us , 60069
Borders , 49 S. Waukegan Road , 2nd floor -Near Psychology , Deerfield , IL , us , 60015
Motorola , 233 N Michigan Ave , 8th floor , Chicago , IL , us , 60601
Syncubator Fund, LLC , 322 S Green Street , Suite 300 , Chicago  , IL , us , 60607
Sag Valley/John J. Duffy Woods , 12650 131st Street. , Equestrian Parking Area , Lemont , IL , us , 60439
Busse Woods  , 646 Beisner Road , East of I-290 Biesterfield Rd & end of Beisner Rd - Access Grove #32  , Elk Grove Village , IL , us , 60007
Healing Junction , 3322 N. Ashland Ave , 2nd Floor , Chicago , IL , us , 60640
OakPark Place Apartments , 479 North Harlem Avenue , Floor 7th , Oak Park  , IL , us , 60301
Manifest  , 600 W. Chicago , Suite 290 , Chicago , IL , us , 60610
Arc , 35 W. Wacker  , (The Leo Burnett Building) , Chicago , IL , us , 60601
VSA Partners offices , 600 W. Chicago , Suite 250 , Chicago , IL , us , 60654
Winnetka Community House , 620 Lincoln Ave , Winnetka , Winnetka , IL , us , 60093
DePaul University: SAC (Schmitt Academic Center) , 2320 N. Kenmore Avenue  , Room 204 , Chicago , IL , us , 60606
Amundsen High School , 5110 N. Damen Ave. , (Auditorium) , Chicago , IL , us , 60606
Suzie's Noon Hour Grill , 6930 N Glenwood Ave , Rogers Park , Chicago , IL , us , 60626
A Member's Residence , W. Belmont and N. Sheridan , Lakeview , Chicago , IL , us , 60657
San Chae Dol Sot Restaurant , 3737 W. Lawrence (B) , North Park , Chicago , IL , us , 60625
Anderson Chapel , N Park Dr , 3225 W. Foster Ave. , Chicago , IL , us , 60601
University of Illinois Chicago , 839 W. Roosevelt, , Tennis Courts , Chicago , IL , us , 60607
DaRae Jung , 5220 N. Lincoln Avenue , (Near Foster Avenue) , chicago , IL , us , 60625
NORDSTROM CAFE , 520 N. Michigan Ave. , 4th floor , Chicago , IL , us , 60611
Yeowoosai , 6248 N California Ave , (between Granville Ave & Rosemont Ave)  , Chicago , IL , us , 60659
Oakton Park , 4701 W. Oakton Street , Skokie , Skokie , IL , us , 60076
The Abbey , 3420 W Grace Street , (corner of Elston & Grace) , Chicago , IL , us , 60618
City Lit Theater , 1020 W. Bryn Mawr Ave , Inside the historic Edgewater Presbyterian Church building , Chicago , IL , us , 60660
The Nineteen Hundred and One Gallery , 1901 W. Belmont Ave. , Enter on Wolcott , Chicago , IL , us , 60657
Hilton Chicago Hotel , 720 South Michigan Avenue , Please check reader board at hotel for meeting room location , Chicago , IL , us , 60605
No/NW Suburban Laughter Club  , 1340 Webford Street , The Dance Building , Des Plaines , IL , us , 60016
Pick-Staiger Concert Hall , 50 Arts Circle Drive , Evanston, IL , Chicago , IL , us , 60644
Lutkin Hall , 700 University Pl , Northwestern University , Evanston , IL , us , 60201
Cahn Auditorium , Northwestern University , 600 Emerson St.  (Emerson and Sheridan) , Evanston , IL , us , 60208
Tsuki Japanese Restaurant and Lounge , 1441 W. Fullerton , Main floor , Chicago , IL , us , 60614
The Corner , 2224 N. Leavitt St , (between Palmer St & Lyndale St) , Chicago , IL , us , 60647
The Lighthouse , 7301 N. Sheridan Road , (on the Chase Avenue side) , Chicago , IL , us , 60626
Portage Park , 5600 W Irving Park , Corner of Irving Park And Central , Chicago , IL , us , 60634
CME Group Trading Knowledge Center , 141 West Jackson  , Suite 220A  2nd floor Annex , Chicago , IL , us , 60604
Reed's Canoe Trips , 907 N. Indiana Ave. , Rt. 50 , Kankakee , IL , us , 60901
Busse Woods ,  646 Beisner Road , East of I-290 Biesterfield Rd & end of Beisner Rd - Access Grove #32  , Elk Grove Village , IL , us , 60007
Montrose Beach ,  200 W  Montrose ave , and Simmons st , Chicago , IL , us , 60610
South Swallow Cliff Woods  , 1/2 mile South of  Cal-Sag Road (Rt 83) on La Grange Road/96th Ave (US 45) , West Side of the Road , Palos Park , IL , us , 60464
Kettle Moraine State Forest Southern Unit , Forest Headquarters , S91 W39091 Highway 59 , Eagle , WI , us , 53119
Porcupine Mountains State Park , 33303 Headquarters Rd. , Ontanogon,MI , Ontonagon , MI , us , 49953
Lalo's Restaurant , 1960 N. Clybourn , Chicago, IL , Chicago , IL , us , 60614
Frank Church-River of No Return Wilderness , P.O. Box 729 , Cobalt Ranger District , Salmon , ID , us , 83467
Nordhouse Dunes Wilderness Area , Manistee Ranger Station , 412 Red Apple Rd. , Manistee , MI , us , 49660
Governor Dodge State Park , 4175 Highway 23 N ,  Dodgeville, Wisconsin , Dodgeville , WI , us , 53533
Kettle Moraine State Forest--Northern Unit , Forest Headquarters , N1765 Highway G , Campbellsport , WI , us , 53010
ITA , 200 S Wacker Drive , 15th Floor , Chicago , IL , us , 60606
Summit Executive Center , 205 N Michigan Avenue , 10th Floor , Chicago , IL , us , 60601 
The Great Hall at Union Station , 210 S Canal Street , (enter on Jackson) , Chicago , IL , us , 60606
Erie Cafe , 536 W. Erie St. , Erie, just east of the Chicago River , Chicago , IL , us , 60610
Clarke's , 2445   N. Lincoln Avenue , corner of Lincoln & Fullerton , Chicago , IL , us , 60601
Gill Park , 857 W Sheridan Rd , Room 1 , Chicago , IL , us , 60613
Lakeview , 3814 N Fremont St , Apartment 2 , Chicago , IL , us , 60613
SL Sports Lounge , South Loop Hotel , 11 w 26th st , Chicago , IL , us , 60605
200 West Jackson Building , 13th Floor , Jackson, between Franklin & Wells , Chicago , IL , us , 60601
Broad Reach Internet Marketing , 125 S. Wacker Drive , 2nd Floor Conference Room , Chicago , IL , us , 60606
Illinois Technology Association , 200 S. Wacker , 15th Floor , Chicago , IL , us , 60606
Thorne Auditorium , 375 E Chicago Ave,  , Northwestern University , Chicago , IL , us , 60611
red flower acupuncture studio , 2023 w. carroll avenue , suite c200 , Chicago , IL , us , 60622
Ditkas , Two Mid America Plaza , 22nd and Route 83 , Oakbrook terrace , IL , us , 60181
Microsoft Technology Center , 77 W. Wacker Drive , Suite 2300 , Chicago , IL , us , 60601
RightPoint Conference Center , 200 W Madison St , ste 1100 , Chicago , IL , us , 60606
Lou Malanti's Pizzeria , W Schaumburg Rd , (Roselle & Schaumburg Road) , Schaumburg , IL , us , 60193
Nickel City Family Arcade , Brookside Ln , 555 Waukegan Rd. , Northbrook , IL , us , 60062
Heinz Orchard , 1050 Crest Rd , (corner of Atkinson & Crest) , Green Oaks , IL , us , 60048
Grandma V's , 10 E Maple Ave , Intersection Route 176 and Route 45 , Mundelein , IL , us , 60060
Panda Rock , 1322 Oakton St , (use Chute parking lot; buzzer to the left of door) , Evanston , IL , us , 60202
Hungry?  Restaurant , 1673 Algonquin Rd , In strip mall by WalMart , Rolling Meadows , IL , us , 60008
West Loop Building , 1229 W Washington Blvd , 4th Floor , Chicago , IL , us , 60607
ITA TechNexus , 200 S. Wacker Drive , 15th Floor , Chicago , IL , us , 60606
TeleConference , You Just Need a Phone , - Register To Get the Dial In Details , Los Angeles , CA , us , 90067
Westfield Hawthorne Mall , Vernon Hills , 122 Hawthorn Center  , Vernon Hills , IL , us , 60061
AMC Loews 600 N. Michigan , 600 N. Michigan , Chicago, IL , Chicago , IL , us , 60611
Hollywood Bivd. A Cinema Bar and Eatery , 1001 West 75th Street (under the Clock Tower) , Woodridge, IL. , Woodridge , IL , us , 60517
Loews Streets Of Woodfield , 601 North Martingale Road Suite 105 , in the Streets of Woodfield Mall , Schaumburg , IL , us , 60173
Omega Restaurant  , 4 s 40 rt 59  , just north off I-88 , Warrenville , IL , us , 60540
CME , 20 South Wacker Drive , ULL-A Auditorium , Chicago , IL , us , 60606
Crust , 2056 W Division St , Between Damen and Hoyne , Chicago , IL , us , 60622
Midtown Lounge , 203 N Lasalle St , Entrance on Lake b/t LaSalle and Clark , Chicago , IL , us , 60610
NAB Sports Outdoor Rink , 1600 North Lake Shore Drive , NW of Beach House , Chicago , IL , us , 60613
Family Christian Center , 340 W. 45th Avenue , 2nd Floor, "The Dome" , Munster , IN , us , 46321
Yolk , 355 E. Ohio St. , (corner of Grand & McClurg) , Chicago , IL , us , 60611
Centennial Fountain , 300 N. McClurg Ct. , The Very Southern End of McClurg Ct at the River , Chicago , IL , us , 60611
Elevated Delights, Inc , 1701 Quincy Ave , Suite 30 , Naperville , IL , us , 60540
Panera Bread , 25 Rice Lake Sq,  , (next to Butterfield's on Butterfield Road) , Wheaton , IL , us , 60187
Turbodog Spirit Center , 327 N. Bell , (b/w Damen & Western, off of Fulton St.) , Chicago , IL , us , 60612
Pope's Pizza , Devon , Elk Grove Village , Mount Prospect , IL , us , 60056
Marriott , Main , Memphis, TN , Mount Prospect , IL , us , 60056
Panera Bread , 12632 S Rte 59 , Off 127th , Plainfield , IL , us , 60544
Roundheads Pizza Pub , 2001 63rd St.  , On the Corner of 63rd & Woodward , Downers Grove , IL , us , 60516
Groupe Professionel Francophone , Renaissance Hotel , on Wicker Drive , Chicago , IL , us , 60601
Sushi House , 175 W Jackson Ave , # 225 , Naperville , IL , us , 60540
Ceramic Art Cafe , 26 S La Grange Rd , Lower Level , La Grange , IL , us , 60525
Downtown Naperville , washington st. , 100 Washington St. , Naperville , IL , us , 60540
Atomix , 1957 W Chicago Ave , (between Damen Ave & Winchester Ave) , Chicago , IL , us , 60622
Evanston Library (Main Branch) , 1703 Orrington Ave. , Church St. Entrance - 3rd Floor , Evanston , IL , us , 60201
Hai Yen , 1055 W. Argyle, , on North side , Chicago , IL , us , 60640
Viceroy of India , 2516 W. Devon , Chicago , Chicago , IL , us , 60657
Little India , 1109 W Bryn Mawr Ave , 1/2 block w of last meetup , Chicago , IL , us , 60660
WHATS COOKING RESTAURANT , 6181 Lincoln Ave , Lincoln Village Shopping Center , Chicago , IL , us , 60659
KEGON JAPANESE RESTAURANT , 569 WAUKEGAN , BROOKSIDE SHOPPING CTR , NORTHBROOK , IL , us , 60062
Illinois Institute of Technology , 3201 S. State Street , McCormick Tribune Campus Center , Chicago , IL , us , 60616
The 3rd Coast Cafe , 1260 N Dearborn St. (Back Room) , www.3rdcoastcafe.com , Chicago , IL , us , 60610
Edgebrook Golf Course/Forest Preserve , 6100 N Central Ave , Grove 1 , Chicago , IL , us , 60646
ThoughtWorks Offices , 200 E. Randolph St. , 26th floor , Chicago , IL , us , 60601
Seven Bar and Grill , 400 E. Randolph , 7th Floor , Chicago , IL , us , 60601
Entree Kitchen , 26W276 Geneva Road , Winfield Crossing , Carol Stream , IL , us , 60188
Marty Couch's Home , Near Howard and Clark , Exact address will be e-mailed to attendees 24 hours prior to the meet up , Chicago , IL , us , 60601
Villa Park Library , 305 S Ardmore Ave , Villa Park , Villa Park , IL , us , 60181
Honky Tonk BBQ , 1213 West 18th Street , Pilsen , Chicago , IL , us , 60608
Pariveda Solutions , 550 W. Washington , Suite 410 , Chicago , IL , us , 60661
The Wandering Dragon Game Shoppe , 24026 W. Lockport Street , 2nd Floor , Plainfield , IL , us , 60544
